iter	Passed	Remaining
0	1	181
1	3	166
2	4	159
3	6	148
4	8	152
5	9	149
6	11	148
7	12	147
8	14	149
9	16	148
10	18	147
11	19	145
12	21	143
13	22	141
14	24	140
15	26	137
16	27	135
17	29	134
18	31	132
19	32	130
20	34	128
21	35	127
22	37	125
23	39	124
24	40	122
25	42	120
26	44	119
27	45	117
28	47	115
29	48	114
30	50	112
31	52	110
32	53	109
33	55	107
34	57	106
35	59	105
36	60	103
37	62	102
38	64	100
39	66	99
40	68	98
41	68	94
42	70	93
43	71	91
44	73	90
45	75	88
46	77	86
47	78	85
48	80	83
49	81	81
50	83	80
51	84	78
52	86	76
53	88	75
54	89	72
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	98	62
61	100	61
62	101	59
63	103	58
64	104	56
65	106	54
66	107	53
67	109	51
68	111	49
69	112	48
70	114	46
71	115	45
72	117	43
73	119	41
74	120	40
75	122	38
76	124	37
77	126	35
78	128	34
79	129	32
80	131	30
81	133	29
82	135	27
83	137	26
84	138	24
85	140	22
86	142	21
87	143	19
88	145	17
89	147	16
90	148	14
91	150	13
92	151	11
93	153	9
94	155	8
95	156	6
96	158	4
97	159	3
98	161	1
99	162	0
