iter	Passed	Remaining
0	161	161468
1	165	82386
2	169	56414
3	173	43085
4	175	34887
5	180	29829
6	183	25962
7	185	22988
8	187	20626
9	189	18768
10	198	17836
11	200	16539
12	203	15414
13	204	14437
14	211	13893
15	217	13359
16	219	12696
17	225	12316
18	227	11763
19	232	11381
20	234	10935
21	236	10522
22	238	10137
23	240	9781
24	242	9469
25	249	9357
26	254	9186
27	257	8927
28	264	8870
29	266	8622
30	268	8404
31	270	8188
32	272	7988
33	277	7879
34	282	7793
35	285	7639
36	287	7477
37	292	7401
38	294	7258
39	298	7157
40	300	7033
41	307	7003
42	309	6881
43	311	6762
44	315	6687
45	317	6581
46	324	6579
47	327	6487
48	331	6436
49	343	6531
50	346	6451
51	352	6434
52	355	6353
53	359	6302
54	361	6218
55	364	6137
56	366	6066
57	373	6059
58	379	6047
59	386	6057
60	389	5992
61	393	5955
62	396	5892
63	398	5826
64	408	5879
65	411	5818
66	413	5756
67	415	5698
68	418	5652
69	429	5705
70	436	5708
71	445	5745
72	448	5689
73	450	5636
74	463	5721
75	468	5691
76	480	5760
77	492	5816
78	498	5812
79	514	5914
80	527	5986
81	540	6049
82	543	6006
83	557	6078
84	560	6033
85	575	6120
86	586	6156
87	589	6104
88	604	6183
89	607	6138
90	617	6170
91	633	6248
92	639	6235
93	653	6296
94	663	6322
95	665	6268
96	667	6214
97	675	6215
98	677	6164
99	679	6114
100	681	6067
101	683	6017
102	685	5971
103	687	5924
104	692	5903
105	695	5864
106	697	5824
107	701	5790
108	706	5771
109	709	5742
110	711	5700
111	719	5701
112	725	5695
113	728	5658
114	734	5653
115	739	5635
116	741	5595
117	743	5559
118	753	5576
119	757	5551
120	759	5520
121	767	5522
122	777	5545
123	782	5530
124	795	5565
125	834	5789
126	845	5812
127	848	5781
128	853	5764
129	857	5739
130	862	5724
131	864	5686
132	866	5651
133	874	5651
134	878	5625
135	881	5600
136	890	5609
137	892	5576
138	894	5543
139	897	5512
140	907	5528
141	908	5492
142	911	5460
143	913	5427
144	919	5421
145	922	5393
146	925	5373
147	927	5342
148	936	5347
149	939	5321
150	941	5291
151	953	5320
152	982	5441
153	988	5432
154	990	5402
155	993	5374
156	999	5367
157	1004	5353
158	1006	5325
159	1015	5330
160	1016	5297
161	1019	5274
162	1021	5247
163	1031	5260
164	1034	5235
165	1039	5222
166	1065	5316
167	1069	5297
168	1079	5305
169	1084	5292
170	1094	5305
171	1097	5281
172	1099	5257
